time,j0,j1,j2,j3,j4,j5,j6
0.145365,8.640000,-6.840000,-4.545000,2.655000,-6.336000,2.088000,-3.312000
0.147791,9.450000,-6.930000,-4.140000,1.170000,-6.192000,2.016000,-3.312000
0.150105,5.130000,-9.360000,-5.760000,-0.180000,-8.184000,2.208000,-4.032000
0.152454,4.680000,-9.720000,-7.425000,0.090000,-8.040000,2.184000,-4.008000
0.154792,4.410000,-10.530000,-7.965000,1.305000,-8.160000,2.136000,-3.864000
0.157144,8.370000,-7.650000,-6.210000,2.340000,-6.288000,1.992000,-3.720000
0.159482,8.910000,-7.290000,-4.635000,1.800000,-6.240000,2.160000,-3.864000
0.161876,7.920000,-7.470000,-4.725000,0.810000,-6.000000,2.064000,-3.792000
0.164191,5.400000,-10.170000,-6.750000,-0.045000,-8.304000,1.848000,-3.936000
0.166518,4.500000,-10.260000,-8.100000,0.990000,-8.136000,1.920000,-4.104000
0.168845,4.950000,-9.810000,-7.875000,0.945000,-7.968000,2.088000,-4.200000
0.171140,8.550000,-6.570000,-5.940000,1.755000,-6.096000,1.920000,-3.600000
0.173438,8.640000,-7.020000,-3.780000,0.945000,-5.880000,1.920000,-3.864000
0.175857,8.640000,-6.480000,-4.365000,2.070000,-5.760000,1.896000,-3.960000
0.178174,4.950000,-9.810000,-6.570000,0.945000,-8.184000,1.896000,-4.080000
0.180486,4.860000,-9.900000,-8.730000,0.540000,-7.920000,1.968000,-4.080000
0.182846,4.230000,-10.260000,-8.595000,-0.225000,-7.512000,1.992000,-4.320000
0.185167,8.640000,-7.200000,-7.245000,0.900000,-5.712000,1.992000,-3.792000
0.187504,8.820000,-6.660000,-5.040000,2.250000,-5.784000,1.944000,-3.792000
0.189886,8.730000,-7.470000,-5.400000,0.675000,-5.568000,1.872000,-3.984000
0.192173,4.590000,-10.980000,-6.435000,-0.720000,-7.848000,1.920000,-3.840000
0.194505,5.220000,-10.620000,-8.325000,0.090000,-7.536000,1.872000,-3.672000
0.196862,4.410000,-10.710000,-7.740000,-0.000000,-7.440000,1.944000,-3.840000
0.199200,9.180000,-7.470000,-6.525000,0.900000,-5.904000,1.944000,-3.792000
0.201606,10.260000,-7.380000,-4.950000,1.035000,-5.904000,1.944000,-3.624000
0.203905,9.270000,-7.470000,-5.220000,1.755000,-5.832000,1.944000,-3.744000
0.206192,4.500000,-9.900000,-7.515000,1.170000,-7.848000,1.920000,-3.936000
0.208548,5.220000,-10.890000,-8.865000,-0.180000,-7.656000,1.944000,-3.840000
0.210876,5.040000,-10.530000,-8.325000,0.855000,-7.968000,1.848000,-4.056000
0.213219,9.630000,-6.390000,-6.930000,2.430000,-6.240000,1.800000,-3.432000
0.215615,9.540000,-6.390000,-5.130000,1.080000,-6.192000,1.920000,-3.528000
0.217925,8.640000,-6.390000,-5.040000,2.340000,-6.120000,1.920000,-3.696000
0.220258,5.130000,-9.900000,-6.300000,2.070000,-8.256000,1.848000,-3.744000
0.222651,6.300000,-10.440000,-8.055000,0.495000,-8.424000,1.728000,-3.696000
0.224914,6.030000,-9.810000,-8.595000,1.620000,-8.352000,1.848000,-3.936000
0.227272,9.450000,-5.580000,-6.705000,3.510000,-6.072000,1.920000,-3.312000
0.229634,9.450000,-6.030000,-5.625000,2.115000,-6.024000,1.800000,-3.552000
0.231941,9.540000,-5.940000,-4.905000,3.060000,-5.856000,1.728000,-3.600000
0.234252,4.860000,-8.820000,-6.390000,2.790000,-8.160000,1.848000,-3.696000
0.236573,5.220000,-9.450000,-7.155000,0.990000,-8.160000,1.848000,-3.936000
0.238910,4.770000,-9.090000,-8.100000,1.980000,-7.920000,1.704000,-3.936000
0.241221,10.170000,-5.580000,-6.300000,3.375000,-5.928000,1.704000,-3.408000
0.243634,10.260000,-5.940000,-5.535000,2.700000,-6.048000,1.776000,-3.648000
0.245943,10.260000,-5.670000,-4.185000,3.735000,-6.216000,1.728000,-3.408000
0.248282,5.040000,-9.630000,-6.840000,2.295000,-8.064000,1.560000,-3.672000
0.250630,5.400000,-9.720000,-6.885000,2.835000,-7.920000,1.608000,-3.744000
0.252990,10.890000,-5.850000,-4.815000,4.410000,-5.976000,1.608000,-3.768000
0.255310,10.350000,-5.670000,-6.075000,2.520000,-6.120000,1.392000,-3.960000
0.257647,9.630000,-5.310000,-7.245000,4.590000,-6.072000,1.200000,-3.600000
0.259963,9.000000,-5.220000,-5.130000,2.340000,-5.808000,1.008000,-3.696000
0.262286,5.580000,-9.450000,-7.785000,1.935000,-7.824000,0.840000,-3.984000
0.264602,5.220000,-9.180000,-6.300000,2.340000,-7.824000,0.528000,-3.888000
0.266928,4.500000,-9.540000,-7.335000,2.070000,-7.752000,0.240000,-4.104000
0.269261,9.360000,-5.670000,-4.815000,3.330000,-6.024000,0.120000,-3.576000
0.271630,9.720000,-5.580000,-6.255000,1.575000,-5.856000,0.048000,-3.744000
0.273932,10.260000,-5.310000,-6.705000,3.645000,-5.448000,-0.240000,-3.840000
0.276247,4.950000,-9.720000,-7.605000,1.035000,-7.560000,-0.528000,-3.960000
0.278603,5.220000,-9.360000,-6.480000,2.340000,-7.560000,-0.576000,-4.032000
0.280905,4.320000,-8.910000,-5.805000,0.675000,-7.704000,-0.648000,-3.624000
0.283197,9.810000,-4.500000,-4.275000,3.150000,-5.664000,-0.864000,-3.816000
0.285540,9.450000,-4.590000,-5.220000,2.115000,-5.688000,-0.936000,-3.384000
0.287888,10.080000,-5.130000,-6.165000,3.240000,-5.640000,-0.888000,-3.696000
0.290197,5.130000,-9.720000,-8.190000,1.710000,-7.704000,-1.152000,-3.936000
0.292495,4.950000,-9.720000,-7.605000,2.295000,-7.752000,-1.320000,-4.008000
0.294834,5.220000,-10.890000,-6.390000,0.990000,-7.488000,-1.296000,-4.248000
0.297151,9.450000,-6.210000,-5.490000,2.160000,-5.688000,-1.272000,-3.504000
0.299475,10.350000,-6.300000,-4.680000,1.215000,-6.048000,-1.416000,-3.864000
0.301779,9.990000,-6.570000,-5.895000,3.150000,-6.264000,-1.440000,-3.432000
0.304085,5.130000,-11.160000,-7.740000,0.900000,-8.400000,-1.632000,-3.672000
0.306493,4.950000,-11.430000,-9.180000,2.205000,-7.992000,-1.680000,-3.384000
0.308728,5.670000,-11.070000,-8.055000,0.585000,-7.920000,-1.656000,-3.768000
0.311041,10.170000,-6.390000,-7.335000,3.555000,-6.288000,-1.512000,-3.168000
0.313356,10.080000,-6.210000,-5.040000,2.115000,-6.312000,-1.584000,-3.336000
0.315682,10.080000,-6.570000,-5.580000,3.105000,-6.168000,-1.680000,-3.240000
0.317972,5.220000,-11.970000,-6.390000,1.260000,-7.752000,-1.896000,-3.744000
0.320299,5.310000,-10.980000,-7.335000,2.880000,-7.680000,-1.968000,-3.696000
0.322603,5.670000,-11.880000,-8.190000,2.430000,-7.848000,-2.040000,-3.600000
0.324962,10.260000,-6.750000,-5.850000,2.880000,-6.192000,-1.800000,-3.504000
0.327305,9.900000,-6.750000,-6.705000,3.240000,-6.000000,-1.776000,-3.576000
0.329675,10.890000,-6.030000,-4.545000,1.755000,-5.856000,-1.944000,-3.816000
0.331981,4.410000,-10.890000,-7.245000,3.060000,-7.872000,-2.256000,-4.176000
0.334300,3.600000,-10.710000,-5.580000,1.305000,-7.896000,-2.208000,-4.320000
0.336610,4.860000,-11.340000,-7.200000,1.800000,-7.872000,-2.160000,-4.128000
0.338962,5.490000,-11.070000,-8.550000,2.295000,-7.992000,-2.208000,-4.368000
0.341266,11.070000,-5.850000,-5.850000,1.755000,-5.736000,-2.136000,-3.696000
0.343691,10.170000,-5.940000,-6.570000,3.420000,-5.664000,-2.208000,-4.152000
0.345995,4.770000,-10.800000,-8.055000,1.305000,-8.064000,-2.472000,-4.080000
0.348334,4.680000,-10.710000,-7.020000,1.935000,-7.800000,-2.376000,-4.416000
0.350810,4.500000,-10.710000,-5.805000,2.340000,-7.656000,-2.208000,-4.080000
0.352983,10.890000,-5.850000,-4.365000,1.305000,-5.712000,-2.448000,-3.864000
0.355339,10.800000,-5.580000,-4.230000,2.475000,-5.856000,-2.544000,-3.504000
0.357663,11.160000,-5.490000,-6.075000,2.385000,-5.952000,-2.040000,-3.864000
0.359995,5.130000,-10.710000,-7.515000,1.440000,-7.656000,-2.544000,-3.936000
0.362331,5.580000,-10.080000,-7.920000,2.385000,-7.680000,-2.880000,-4.080000
0.364754,6.390000,-10.980000,-7.335000,2.340000,-7.488000,-2.736000,-3.792000
0.366973,11.970000,-4.950000,-5.490000,2.340000,-5.592000,-2.424000,-3.336000
0.369340,10.980000,-4.410000,-3.960000,3.645000,-5.784000,-2.640000,-3.360000
0.371713,10.890000,-4.050000,-3.645000,2.745000,-5.856000,-2.976000,-3.096000
0.374048,5.310000,-8.550000,-5.580000,1.935000,-7.344000,-2.736000,-3.744000
0.376357,5.400000,-9.000000,-6.210000,2.655000,-7.560000,-2.880000,-3.312000
0.378774,5.490000,-9.270000,-8.010000,2.475000,-7.680000,-3.192000,-3.504000
0.381270,11.520000,-4.140000,-5.625000,2.385000,-5.712000,-2.784000,-2.808000
0.383828,11.250000,-4.320000,-5.940000,3.285000,-5.688000,-2.616000,-3.048000
0.385993,5.220000,-9.540000,-8.100000,2.565000,-7.608000,-3.264000,-3.288000
0.388300,6.030000,-9.540000,-7.335000,2.385000,-7.968000,-3.120000,-3.120000
0.390731,5.940000,-9.360000,-5.805000,2.700000,-8.280000,-2.904000,-3.504000
0.392988,11.700000,-4.950000,-4.410000,3.465000,-6.120000,-2.976000,-3.024000
0.395436,11.340000,-3.420000,-3.960000,3.015000,-6.408000,-2.856000,-3.696000
0.397662,11.790000,-3.870000,-4.320000,2.745000,-6.264000,-2.664000,-3.408000
0.400002,4.770000,-9.630000,-6.390000,2.565000,-8.280000,-3.336000,-3.984000
0.402327,4.230000,-9.720000,-7.200000,3.015000,-8.424000,-3.000000,-3.672000
0.404627,4.860000,-9.810000,-7.155000,2.385000,-8.232000,-2.904000,-4.032000
0.406923,5.040000,-9.450000,-5.625000,2.340000,-8.136000,-3.048000,-3.840000
0.409294,10.440000,-4.410000,-4.545000,2.565000,-6.048000,-2.424000,-3.600000
0.411622,9.450000,-4.230000,-3.285000,2.430000,-5.832000,-2.904000,-3.600000
0.413970,4.320000,-10.800000,-6.345000,1.620000,-8.352000,-2.904000,-3.864000
0.416281,3.060000,-11.070000,-5.580000,1.530000,-8.160000,-2.856000,-4.272000
0.418643,3.240000,-11.610000,-6.885000,1.395000,-7.968000,-3.048000,-3.936000
0.420934,3.510000,-11.610000,-7.200000,1.710000,-8.160000,-2.904000,-4.248000
0.423302,9.180000,-6.300000,-6.210000,2.115000,-5.952000,-3.120000,-3.696000
0.425638,9.270000,-6.390000,-5.400000,2.025000,-6.216000,-2.736000,-3.720000
0.427968,3.600000,-12.510000,-8.595000,1.755000,-7.968000,-3.000000,-4.464000
0.430302,4.050000,-12.600000,-7.245000,1.800000,-8.016000,-3.024000,-3.960000
0.432742,4.320000,-12.690000,-5.805000,2.070000,-7.896000,-2.952000,-4.344000
0.434963,10.800000,-6.840000,-4.185000,2.520000,-5.952000,-2.952000,-3.648000
0.437300,11.340000,-7.290000,-3.690000,2.655000,-6.288000,-2.760000,-3.480000
0.439611,11.340000,-6.480000,-5.625000,2.700000,-6.144000,-3.168000,-3.816000
0.441933,11.340000,-6.030000,-5.535000,3.015000,-5.976000,-2.952000,-3.576000
0.444235,5.220000,-10.530000,-8.460000,3.105000,-7.680000,-3.576000,-3.912000
0.446699,5.850000,-10.260000,-7.155000,3.645000,-7.704000,-3.264000,-3.720000
0.448921,6.300000,-9.630000,-5.445000,3.780000,-7.824000,-3.480000,-3.936000
0.451220,12.960000,-3.870000,-4.680000,4.365000,-5.688000,-2.928000,-3.912000
0.453562,13.860000,-4.320000,-3.960000,4.410000,-5.664000,-3.288000,-3.336000
0.455878,13.950000,-4.500000,-5.085000,4.275000,-5.664000,-3.456000,-3.840000
0.458181,7.110000,-9.990000,-6.435000,4.410000,-7.560000,-3.552000,-4.248000
0.460513,7.470000,-9.540000,-7.650000,4.455000,-7.728000,-3.624000,-3.744000
0.462816,6.930000,-8.820000,-7.785000,4.410000,-7.920000,-3.792000,-4.104000
0.465187,13.320000,-3.780000,-6.255000,4.500000,-5.520000,-3.120000,-3.864000
0.467496,13.500000,-3.150000,-5.580000,4.320000,-5.352000,-3.456000,-3.600000
0.469805,14.130000,-3.960000,-3.465000,4.185000,-5.448000,-3.600000,-3.840000
