time,j0,j1,j2,j3,j4,j5,j6
0.168853,16.011000,-2.721000,-3.583000,5.989000,-0.372000,0.569600,-0.288800
0.171191,16.090500,-2.770500,-3.450000,6.007000,-0.407200,0.556800,-0.279200
0.173474,16.255500,-2.962500,-3.299000,5.992000,-0.343200,0.572800,-0.260800
0.175779,16.206000,-3.072000,-3.250000,5.921000,-0.366400,0.565600,-0.257600
0.178191,16.155000,-3.046500,-3.315000,5.869000,-0.338400,0.588800,-0.264800
0.180506,15.919500,-2.989500,-3.521000,5.726000,-0.436000,0.556000,-0.284000
0.182819,15.747000,-2.971500,-3.679000,5.727000,-0.412000,0.568800,-0.268800
0.185204,15.507000,-3.051000,-3.753000,5.671000,-0.422400,0.582400,-0.292000
0.187503,15.492000,-3.069000,-3.603000,5.694000,-0.396800,0.593600,-0.268800
0.189839,15.655500,-3.264000,-3.389000,5.654000,-0.385600,0.600000,-0.253600
0.192218,15.699000,-3.423000,-3.256000,5.653000,-0.383200,0.556800,-0.250400
0.194514,15.670500,-3.454500,-3.224000,5.453000,-0.336800,0.547200,-0.264800
0.196840,15.588000,-3.466500,-3.357000,5.392000,-0.377600,0.552800,-0.258400
0.199156,15.333000,-3.424500,-3.546000,5.373000,-0.394400,0.532000,-0.240800
0.201534,15.252000,-3.298500,-3.617000,5.354000,-0.417600,0.567200,-0.264800
0.203857,15.171000,-3.334500,-3.567000,5.396000,-0.382400,0.569600,-0.288000
0.206239,15.367500,-3.238500,-3.493000,5.419000,-0.398400,0.549600,-0.279200
0.208532,15.472500,-3.193500,-3.314000,5.448000,-0.396800,0.565600,-0.264000
0.210882,15.603000,-3.055500,-3.197000,5.489000,-0.319200,0.565600,-0.257600
0.213216,15.721500,-2.860500,-3.159000,5.431000,-0.325600,0.540800,-0.228800
0.215560,15.793500,-2.545500,-3.214000,5.497000,-0.357600,0.567200,-0.244800
0.217954,15.894000,-2.496000,-3.195000,5.536000,-0.405600,0.567200,-0.266400
0.220265,16.063500,-2.304000,-3.176000,5.606000,-0.350400,0.560800,-0.265600
0.222591,16.461000,-2.349000,-3.014000,5.670000,-0.350400,0.568800,-0.242400
0.224923,16.753500,-2.260500,-3.001000,5.901000,-0.380800,0.550400,-0.214400
0.227269,16.872000,-2.089500,-3.044000,6.043000,-0.413600,0.558400,-0.221600
0.229582,16.915500,-1.821000,-3.235000,6.290000,-0.388000,0.573600,-0.226400
0.231973,16.996500,-1.768500,-3.265000,6.468000,-0.401600,0.560000,-0.231200
0.234276,17.064000,-1.653000,-3.316000,6.552000,-0.411200,0.573600,-0.231200
0.236587,17.404500,-1.789500,-3.214000,6.523000,-0.360800,0.572000,-0.216800
0.238904,17.601000,-1.696500,-3.156000,6.542000,-0.344800,0.557600,-0.212000
0.241251,17.917500,-1.644000,-3.077000,6.493000,-0.374400,0.556000,-0.216800
0.243561,18.093000,-1.491000,-3.025000,6.540000,-0.314400,0.560000,-0.204800
0.245936,18.070500,-1.336500,-3.001000,6.628000,-0.353600,0.549600,-0.224000
0.248277,18.034500,-1.174500,-3.092000,6.732000,-0.456800,0.537600,-0.220800
0.250611,18.022500,-1.191000,-3.085000,6.843000,-0.300000,0.552000,-0.211200
0.252982,17.991000,-1.221000,-3.093000,6.914000,-0.372800,0.548800,-0.234400
0.255323,17.890500,-1.180500,-3.067000,6.897000,-0.362400,0.536800,-0.212000
0.257642,17.878500,-1.206000,-3.056000,6.871000,-0.327200,0.546400,-0.189600
0.259981,17.764500,-0.996000,-2.987000,6.746000,-0.297600,0.534400,-0.208800
0.262296,17.818500,-0.954000,-2.876000,6.618000,-0.387200,0.531200,-0.203200
0.264593,17.710500,-0.973500,-2.786000,6.488000,-0.315200,0.505600,-0.192000
0.266953,17.545500,-0.877500,-2.857000,6.397000,-0.357600,0.520000,-0.209600
0.269229,17.218500,-0.591000,-2.940000,6.420000,-0.398400,0.480000,-0.223200
0.271612,16.947000,-0.427500,-2.884000,6.368000,-0.430400,0.468000,-0.223200
0.273965,16.846500,-0.508500,-2.737000,6.353000,-0.353600,0.453600,-0.216000
0.276284,16.920000,-0.610500,-2.504000,6.201000,-0.338400,0.427200,-0.216000
0.278584,16.938000,-0.435000,-2.340000,6.024000,-0.350400,0.384800,-0.166400
0.280919,16.833000,-0.264000,-2.312000,5.882000,-0.311200,0.376800,-0.193600
0.283239,16.720500,-0.049500,-2.484000,5.778000,-0.362400,0.362400,-0.208000
0.285534,16.392000,-0.190500,-2.645000,5.760000,-0.423200,0.307200,-0.216800
0.287875,16.339500,-0.502500,-2.728000,5.828000,-0.379200,0.304000,-0.232000
0.290221,16.330500,-0.841500,-2.656000,5.863000,-0.300000,0.281600,-0.211200
0.292531,16.407000,-1.261500,-2.611000,5.788000,-0.346400,0.220000,-0.204000
0.294829,16.392000,-1.324500,-2.688000,5.673000,-0.305600,0.208800,-0.216000
0.297193,16.401000,-1.462500,-2.773000,5.623000,-0.343200,0.172000,-0.215200
0.299493,16.521000,-1.570500,-2.857000,5.590000,-0.329600,0.120000,-0.220000
0.301810,16.830000,-1.810500,-2.862000,5.625000,-0.374400,0.096000,-0.231200
0.304114,17.116500,-2.028000,-2.917000,5.672000,-0.301600,0.081600,-0.208800
0.306419,17.365500,-2.386500,-3.029000,5.911000,-0.370400,0.045600,-0.216000
0.308728,17.332500,-2.536500,-3.233000,6.037000,-0.388800,0.007200,-0.219200
0.311078,17.413500,-2.478000,-3.328000,6.130000,-0.320800,0.004000,-0.214400
0.313381,17.490000,-2.185500,-3.421000,6.203000,-0.404800,-0.025600,-0.224800
0.315694,17.761500,-2.077500,-3.336000,6.261000,-0.439200,-0.042400,-0.225600
0.318018,18.052500,-2.232000,-3.176000,6.380000,-0.389600,-0.067200,-0.225600
0.320312,18.427500,-2.364000,-2.892000,6.431000,-0.365600,-0.109600,-0.213600
0.322630,18.538500,-2.472000,-2.924000,6.440000,-0.366400,-0.117600,-0.164800
0.324956,18.445500,-2.379000,-3.083000,6.528000,-0.338400,-0.120000,-0.198400
0.327297,18.256500,-1.971000,-3.304000,6.633000,-0.346400,-0.136000,-0.184800
0.329626,18.130500,-1.891500,-3.362000,6.715000,-0.359200,-0.138400,-0.200800
0.332007,18.060000,-1.882500,-3.359000,6.761000,-0.444000,-0.140800,-0.218400
0.334317,18.315000,-1.957500,-2.991000,6.697000,-0.295200,-0.166400,-0.210400
0.336628,18.396000,-2.079000,-2.790000,6.685000,-0.340000,-0.199200,-0.193600
0.338943,18.463500,-1.882500,-2.711000,6.632000,-0.308800,-0.234400,-0.149600
0.341313,18.264000,-1.627500,-2.786000,6.538000,-0.333600,-0.231200,-0.172800
0.343605,17.839500,-1.174500,-2.979000,6.471000,-0.308800,-0.236800,-0.180000
0.346004,17.614500,-1.015500,-3.030000,6.449000,-0.343200,-0.241600,-0.183200
0.348326,17.521500,-1.284000,-2.866000,6.501000,-0.351200,-0.263200,-0.168800
0.350662,17.578500,-1.366500,-2.697000,6.432000,-0.302400,-0.304000,-0.178400
0.353013,17.656500,-1.449000,-2.571000,6.372000,-0.355200,-0.316000,-0.178400
0.355323,17.589000,-1.278000,-2.645000,6.285000,-0.388000,-0.336000,-0.187200
0.357670,17.503500,-0.832500,-2.764000,6.157000,-0.309600,-0.328000,-0.183200
0.359997,17.337000,-0.474000,-2.830000,6.182000,-0.395200,-0.350400,-0.196000
0.362329,17.536500,-0.277500,-2.688000,6.267000,-0.406400,-0.366400,-0.195200
0.364631,17.692500,-0.384000,-2.492000,6.315000,-0.338400,-0.381600,-0.138400
0.366987,17.796000,-0.201000,-2.353000,6.366000,-0.347200,-0.399200,-0.149600
0.369308,18.042000,0.283500,-2.297000,6.389000,-0.324000,-0.415200,-0.152000
0.371674,18.258000,0.532500,-2.190000,6.364000,-0.297600,-0.426400,-0.156000
0.374049,18.694500,0.721500,-2.177000,6.468000,-0.354400,-0.440800,-0.164000
0.376382,19.093500,0.721500,-2.090000,6.626000,-0.388000,-0.443200,-0.146400
0.378696,19.228500,0.918000,-2.256000,6.764000,-0.344000,-0.444800,-0.160800
0.381039,19.419000,1.012500,-2.457000,6.831000,-0.344000,-0.412800,-0.164000
0.383611,19.599000,0.922500,-2.509000,7.012000,-0.324000,-0.435200,-0.158400
0.386034,19.864500,0.838500,-2.511000,7.027000,-0.374400,-0.411200,-0.153600
0.388328,20.188500,0.735000,-2.367000,7.071000,-0.241600,-0.407200,-0.144800
0.390652,20.322000,0.715500,-2.315000,7.092000,-0.272800,-0.387200,-0.128800
0.392985,20.383500,0.598500,-2.280000,7.092000,-0.308800,-0.359200,-0.138400
0.395329,20.265000,0.894000,-2.352000,7.016000,-0.328800,-0.344800,-0.149600
0.397672,20.130000,1.011000,-2.415000,7.017000,-0.347200,-0.340800,-0.144000
0.400003,19.914000,0.924000,-2.417000,7.012000,-0.357600,-0.336800,-0.140000
0.402335,19.699500,0.727500,-2.315000,6.814000,-0.356800,-0.340800,-0.169600
0.404638,19.633500,0.507000,-2.239000,6.738000,-0.328800,-0.379200,-0.111200
0.406978,19.308000,0.373500,-2.227000,6.613000,-0.320800,-0.352800,-0.159200
0.409263,18.886500,0.363000,-2.314000,6.503000,-0.395200,-0.342400,-0.140800
0.411629,18.153000,-0.049500,-2.532000,6.277000,-0.331200,-0.352000,-0.179200
0.413959,17.725500,-0.345000,-2.548000,6.123000,-0.364800,-0.332000,-0.190400
0.416306,17.203500,-0.906000,-2.467000,5.865000,-0.388000,-0.339200,-0.160000
0.418611,17.067000,-1.017000,-2.376000,5.686000,-0.330400,-0.353600,-0.171200
0.420955,16.828500,-1.243500,-2.382000,5.567000,-0.332000,-0.334400,-0.160000
0.423270,16.651500,-1.548000,-2.430000,5.469000,-0.360800,-0.356800,-0.176800
0.425635,16.240500,-1.903500,-2.631000,5.417000,-0.337600,-0.340000,-0.136800
0.427974,16.047000,-2.025000,-2.780000,5.447000,-0.348000,-0.332000,-0.212800
0.430302,16.039500,-2.122500,-2.853000,5.502000,-0.352000,-0.318400,-0.186400
0.432629,16.233000,-2.268000,-2.775000,5.506000,-0.376800,-0.307200,-0.183200
0.434990,16.666500,-2.268000,-2.661000,5.520000,-0.332000,-0.328800,-0.168800
0.437299,17.448000,-1.810500,-2.479000,5.661000,-0.310400,-0.353600,-0.155200
0.439632,18.099000,-1.609500,-2.415000,5.887000,-0.337600,-0.361600,-0.151200
0.441962,18.745500,-1.030500,-2.439000,6.186000,-0.314400,-0.352800,-0.161600
0.444267,19.230000,-0.514500,-2.472000,6.550000,-0.328000,-0.318400,-0.152800
0.446574,20.155500,0.024000,-2.460000,7.088000,-0.326400,-0.319200,-0.128000
0.448893,20.667000,0.424500,-2.465000,7.368000,-0.324800,-0.310400,-0.120800
0.451279,21.337500,0.556500,-2.336000,7.596000,-0.388000,-0.312000,-0.133600
0.453559,22.141500,0.937500,-2.304000,7.917000,-0.294400,-0.336800,-0.137600
0.455898,22.555500,1.045500,-2.363000,8.046000,-0.405600,-0.312000,-0.115200
0.458214,22.999500,1.141500,-2.330000,8.172000,-0.347200,-0.313600,-0.083200
0.460520,23.308500,0.996000,-2.349000,8.253000,-0.329600,-0.312800,-0.109600
0.462854,23.200500,1.465500,-2.455000,8.316000,-0.336000,-0.322400,-0.112800
0.465157,23.167500,1.563000,-2.410000,8.235000,-0.352000,-0.306400,-0.123200
0.467523,22.906500,1.729500,-2.302000,8.218000,-0.300800,-0.296800,-0.116800
0.469846,22.593000,1.818000,-2.260000,8.123000,-0.406400,-0.280800,-0.134400
0.472157,22.113000,1.819500,-2.110000,7.932000,-0.266400,-0.305600,-0.109600
0.474463,21.136500,1.824000,-2.043000,7.504000,-0.301600,-0.316000,-0.122400
0.476783,20.455500,1.912500,-2.011000,7.201000,-0.357600,-0.314400,-0.130400
0.479100,19.804500,1.837500,-1.904000,6.877000,-0.285600,-0.321600,-0.122400
0.481450,18.748500,1.549500,-1.716000,6.481000,-0.288800,-0.351200,-0.134400
0.483766,18.201000,1.564500,-1.684000,6.252000,-0.250400,-0.351200,-0.112800
0.486088,17.500500,1.495500,-1.719000,6.027000,-0.355200,-0.319200,-0.132800
0.488372,16.495500,1.383000,-1.670000,5.745000,-0.296000,-0.358400,-0.158400
0.490712,16.150500,1.387500,-1.693000,5.530000,-0.334400,-0.348800,-0.157600
0.493021,15.823500,1.111500,-1.694000,5.401000,-0.419200,-0.362400,-0.153600
0.495344,15.739500,0.886500,-1.670000,5.175000,-0.324000,-0.356000,-0.152800
0.497657,15.961500,0.765000,-1.622000,5.160000,-0.376000,-0.346400,-0.162400
0.499984,16.498500,0.612000,-1.546000,5.223000,-0.327200,-0.385600,-0.099200
0.502305,17.187000,1.012500,-1.614000,5.423000,-0.380800,-0.378400,-0.142400
0.504594,17.730000,1.429500,-1.748000,5.628000,-0.384000,-0.336000,-0.150400
0.506943,18.381000,1.545000,-1.851000,5.977000,-0.275200,-0.336000,-0.096000
0.509237,19.029000,1.797000,-1.900000,6.278000,-0.337600,-0.333600,-0.124800
0.511595,20.535000,1.780500,-1.795000,6.742000,-0.312800,-0.348000,-0.117600
0.513914,21.534000,1.708500,-1.731000,7.098000,-0.261600,-0.348000,-0.107200
0.516230,22.288500,1.699500,-1.818000,7.412000,-0.356800,-0.359200,-0.109600
0.518537,23.155500,1.794000,-2.020000,7.846000,-0.249600,-0.324800,-0.109600
0.520852,23.685000,1.780500,-2.249000,8.031000,-0.278400,-0.308000,-0.112800
0.523189,24.070500,1.783500,-2.339000,8.273000,-0.350400,-0.319200,-0.080800
0.525509,24.624000,1.390500,-2.381000,8.548000,-0.273600,-0.313600,-0.096800
0.527816,24.750000,1.326000,-2.352000,8.603000,-0.287200,-0.311200,-0.116800
0.530144,24.633000,1.059000,-2.265000,8.696000,-0.261600,-0.329600,-0.078400
0.532462,24.045000,1.285500,-2.316000,8.627000,-0.337600,-0.313600,-0.123200
0.534784,23.430000,1.092000,-2.313000,8.449000,-0.339200,-0.302400,-0.097600
0.537130,22.720500,1.036500,-2.295000,8.302000,-0.322400,-0.324000,-0.112800
0.539492,21.574500,0.757500,-2.251000,7.849000,-0.356800,-0.327200,-0.140800
0.541819,20.893500,0.486000,-2.069000,7.492000,-0.298400,-0.333600,-0.115200
0.544142,20.110500,0.093000,-2.009000,7.168000,-0.378400,-0.332800,-0.104000
0.546449,18.834000,-0.250500,-1.991000,6.718000,-0.290400,-0.368000,-0.107200
0.548782,18.031500,-0.574500,-2.052000,6.414000,-0.328800,-0.340800,-0.151200
0.551188,17.278500,-0.529500,-2.190000,6.158000,-0.438400,-0.326400,-0.150400
0.553483,16.855500,-0.516000,-2.120000,5.853000,-0.310400,-0.332000,-0.165600
0.555800,16.960500,-0.753000,-1.967000,5.832000,-0.314400,-0.344800,-0.161600
0.558114,17.035500,-0.810000,-1.901000,5.978000,-0.332800,-0.368800,-0.129600
0.560423,17.338500,-0.664500,-1.862000,6.066000,-0.336800,-0.348000,-0.136800
0.562755,17.637000,-0.483000,-1.958000,6.319000,-0.298400,-0.336800,-0.112800
0.565072,18.046500,0.304500,-2.010000,6.526000,-0.342400,-0.340800,-0.159200
0.567626,19.294500,0.835500,-1.867000,6.880000,-0.290400,-0.312000,-0.144800
0.569965,20.223000,1.528500,-1.758000,7.170000,-0.284800,-0.350400,-0.094400
0.572289,21.091500,2.121000,-1.664000,7.553000,-0.340000,-0.340000,-0.116000
0.574581,22.477500,2.392500,-1.456000,8.136000,-0.234400,-0.350400,-0.104000
