time,j0,j1,j2,j3,j4,j5,j6
0.119774,-0.559022,-0.632317,-0.096666,0.417325,-0.228628,-0.470699,-0.283377
0.121806,-0.559159,-0.632609,-0.096316,0.417870,-0.226320,-0.470711,-0.283255
0.123715,-0.559293,-0.632901,-0.095964,0.418414,-0.224011,-0.470725,-0.283132
0.125753,-0.559425,-0.633193,-0.095612,0.418955,-0.221701,-0.470740,-0.283006
0.127746,-0.559554,-0.633485,-0.095259,0.419494,-0.219391,-0.470758,-0.282879
0.129747,-0.559680,-0.633778,-0.094905,0.420032,-0.217080,-0.470778,-0.282750
0.131738,-0.559804,-0.634071,-0.094550,0.420568,-0.214768,-0.470801,-0.282619
0.133748,-0.559925,-0.634363,-0.094195,0.421101,-0.212456,-0.470825,-0.282486
0.135815,-0.560043,-0.634656,-0.093839,0.421633,-0.210143,-0.470852,-0.282351
0.137822,-0.560158,-0.634950,-0.093482,0.422164,-0.207830,-0.470881,-0.282214
0.139738,-0.560270,-0.635243,-0.093124,0.422692,-0.205516,-0.470912,-0.282076
0.141746,-0.560380,-0.635536,-0.092766,0.423218,-0.203202,-0.470946,-0.281935
0.143768,-0.560487,-0.635829,-0.092407,0.423743,-0.200888,-0.470982,-0.281793
0.145737,-0.560591,-0.636122,-0.092047,0.424266,-0.198573,-0.471020,-0.281649
0.147741,-0.560692,-0.636415,-0.091686,0.424787,-0.196258,-0.471061,-0.281503
0.149771,-0.560791,-0.636707,-0.091325,0.425307,-0.193942,-0.471105,-0.281355
0.151762,-0.560886,-0.637000,-0.090963,0.425825,-0.191626,-0.471151,-0.281205
0.153741,-0.560979,-0.637292,-0.090600,0.426341,-0.189311,-0.471199,-0.281053
0.155790,-0.561069,-0.637584,-0.090237,0.426855,-0.186994,-0.471250,-0.280899
0.157735,-0.561155,-0.637876,-0.089872,0.427368,-0.184678,-0.471304,-0.280743
0.159746,-0.561239,-0.638167,-0.089507,0.427879,-0.182362,-0.471360,-0.280586
0.161759,-0.561321,-0.638458,-0.089141,0.428388,-0.180046,-0.471420,-0.280426
0.163730,-0.561399,-0.638748,-0.088775,0.428896,-0.177729,-0.471481,-0.280265
0.165736,-0.561474,-0.639038,-0.088408,0.429402,-0.175413,-0.471546,-0.280102
0.167744,-0.561547,-0.639328,-0.088040,0.429907,-0.173097,-0.471613,-0.279937
0.169752,-0.561616,-0.639617,-0.087671,0.430410,-0.170780,-0.471684,-0.279770
0.171767,-0.561683,-0.639905,-0.087301,0.430911,-0.168464,-0.471757,-0.279601
0.173753,-0.561746,-0.640193,-0.086931,0.431411,-0.166148,-0.471833,-0.279430
0.175768,-0.561807,-0.640480,-0.086560,0.431909,-0.163832,-0.471912,-0.279257
0.177755,-0.561864,-0.640766,-0.086189,0.432406,-0.161517,-0.471994,-0.279082
0.179747,-0.561919,-0.641052,-0.085816,0.432901,-0.159202,-0.472079,-0.278905
0.181745,-0.561971,-0.641337,-0.085443,0.433395,-0.156886,-0.472166,-0.278727
0.183737,-0.562019,-0.641621,-0.085069,0.433887,-0.154572,-0.472257,-0.278546
0.185776,-0.562065,-0.641904,-0.084695,0.434377,-0.152257,-0.472352,-0.278363
0.187745,-0.562107,-0.642186,-0.084320,0.434867,-0.149944,-0.472449,-0.278179
0.189725,-0.562147,-0.642467,-0.083944,0.435354,-0.147630,-0.472549,-0.277993
0.191804,-0.562183,-0.642747,-0.083567,0.435841,-0.145317,-0.472653,-0.277804
0.193776,-0.562217,-0.643026,-0.083190,0.436326,-0.143005,-0.472760,-0.277614
0.195821,-0.562247,-0.643304,-0.082812,0.436809,-0.140693,-0.472870,-0.277422
0.197721,-0.562274,-0.643580,-0.082433,0.437292,-0.138381,-0.472983,-0.277227
0.199759,-0.562298,-0.643856,-0.082053,0.437772,-0.136070,-0.473100,-0.277031
0.201763,-0.562319,-0.644130,-0.081673,0.438252,-0.133760,-0.473220,-0.276833
0.203748,-0.562337,-0.644403,-0.081292,0.438730,-0.131451,-0.473343,-0.276633
0.205755,-0.562352,-0.644674,-0.080911,0.439207,-0.129142,-0.473470,-0.276431
0.207738,-0.562363,-0.644944,-0.080529,0.439682,-0.126834,-0.473600,-0.276227
0.209771,-0.562372,-0.645213,-0.080146,0.440156,-0.124527,-0.473734,-0.276021
0.211744,-0.562377,-0.645480,-0.079762,0.440629,-0.122221,-0.473871,-0.275813
0.213728,-0.562379,-0.645746,-0.079378,0.441101,-0.119915,-0.474012,-0.275603
0.215735,-0.562378,-0.646010,-0.078993,0.441571,-0.117611,-0.474156,-0.275391
0.217762,-0.562373,-0.646272,-0.078607,0.442041,-0.115307,-0.474304,-0.275178
0.219727,-0.562366,-0.646532,-0.078221,0.442508,-0.113005,-0.474455,-0.274962
0.221737,-0.562355,-0.646791,-0.077834,0.442975,-0.110703,-0.474610,-0.274744
0.223741,-0.562341,-0.647048,-0.077446,0.443441,-0.108403,-0.474769,-0.274524
0.225772,-0.562324,-0.647303,-0.077058,0.443905,-0.106103,-0.474931,-0.274302
0.227742,-0.562303,-0.647556,-0.076669,0.444368,-0.103805,-0.475098,-0.274078
0.229724,-0.562280,-0.647807,-0.076279,0.444830,-0.101508,-0.475268,-0.273853
0.231720,-0.562252,-0.648057,-0.075889,0.445291,-0.099212,-0.475441,-0.273625
0.233744,-0.562222,-0.648304,-0.075498,0.445751,-0.096917,-0.475619,-0.273395
0.235985,-0.562188,-0.648549,-0.075106,0.446210,-0.094623,-0.475800,-0.273163
0.237720,-0.562151,-0.648791,-0.074713,0.446668,-0.092331,-0.475986,-0.272929
0.239741,-0.562111,-0.649032,-0.074320,0.447124,-0.090040,-0.476175,-0.272694
0.241780,-0.562067,-0.649270,-0.073927,0.447580,-0.087751,-0.476368,-0.272456
0.243745,-0.562020,-0.649506,-0.073532,0.448034,-0.085463,-0.476565,-0.272216
0.245794,-0.561970,-0.649739,-0.073137,0.448488,-0.083176,-0.476766,-0.271974
0.247806,-0.561916,-0.649970,-0.072742,0.448940,-0.080891,-0.476971,-0.271730
0.249760,-0.561859,-0.650198,-0.072346,0.449391,-0.078608,-0.477180,-0.271484
0.251754,-0.561798,-0.650424,-0.071949,0.449842,-0.076326,-0.477393,-0.271236
0.253726,-0.561734,-0.650647,-0.071551,0.450291,-0.074045,-0.477610,-0.270986
0.255744,-0.561667,-0.650868,-0.071153,0.450740,-0.071766,-0.477831,-0.270734
0.257793,-0.561596,-0.651085,-0.070754,0.451188,-0.069489,-0.478056,-0.270480
0.259798,-0.561522,-0.651300,-0.070355,0.451634,-0.067214,-0.478286,-0.270224
0.261731,-0.561444,-0.651512,-0.069954,0.452080,-0.064940,-0.478520,-0.269966
0.263737,-0.561363,-0.651721,-0.069554,0.452525,-0.062668,-0.478758,-0.269706
0.265762,-0.561278,-0.651927,-0.069152,0.452969,-0.060398,-0.479000,-0.269443
0.267764,-0.561190,-0.652130,-0.068750,0.453412,-0.058129,-0.479246,-0.269179
0.269758,-0.561098,-0.652330,-0.068348,0.453854,-0.055863,-0.479497,-0.268913
0.271731,-0.561003,-0.652527,-0.067945,0.454296,-0.053598,-0.479752,-0.268644
0.273816,-0.560904,-0.652720,-0.067541,0.454737,-0.051336,-0.480011,-0.268374
0.275741,-0.560802,-0.652910,-0.067136,0.455177,-0.049075,-0.480275,-0.268101
0.277746,-0.560696,-0.653097,-0.066731,0.455616,-0.046817,-0.480543,-0.267826
0.279746,-0.560586,-0.653280,-0.066325,0.456054,-0.044560,-0.480815,-0.267550
0.281760,-0.560473,-0.653460,-0.065919,0.456491,-0.042306,-0.481092,-0.267271
0.283744,-0.560357,-0.653636,-0.065512,0.456928,-0.040053,-0.481373,-0.266990
0.285798,-0.560236,-0.653809,-0.065105,0.457364,-0.037803,-0.481659,-0.266707
0.287807,-0.560112,-0.653978,-0.064697,0.457800,-0.035555,-0.481949,-0.266422
0.289784,-0.559985,-0.654143,-0.064288,0.458234,-0.033309,-0.482244,-0.266135
0.291743,-0.559854,-0.654305,-0.063879,0.458668,-0.031066,-0.482543,-0.265845
0.293740,-0.559719,-0.654462,-0.063469,0.459102,-0.028825,-0.482847,-0.265554
0.295794,-0.559580,-0.654616,-0.063058,0.459535,-0.026586,-0.483156,-0.265261
0.297728,-0.559438,-0.654766,-0.062647,0.459967,-0.024349,-0.483469,-0.264965
0.299745,-0.559292,-0.654911,-0.062236,0.460398,-0.022115,-0.483786,-0.264667
