time,j0,j1,j2,j3,j4,j5,j6
0.114815,-0.201024,-0.112390,-0.162579,-0.224174,-0.672789,0.105794,-0.023383
0.116821,-0.202100,-0.113665,-0.162815,-0.223277,-0.673287,0.104730,-0.023573
0.118810,-0.203222,-0.114912,-0.163056,-0.222481,-0.673808,0.103696,-0.024237
0.120805,-0.204303,-0.116152,-0.163212,-0.221693,-0.674326,0.102800,-0.025050
0.122812,-0.205356,-0.117382,-0.163400,-0.220847,-0.674820,0.101842,-0.025354
0.124792,-0.206458,-0.118728,-0.163611,-0.219956,-0.675313,0.100990,-0.025959
0.126848,-0.207598,-0.119905,-0.163747,-0.219101,-0.675807,0.100047,-0.026394
0.128821,-0.208693,-0.121097,-0.163923,-0.218270,-0.676301,0.099070,-0.027285
0.130810,-0.209756,-0.122425,-0.164125,-0.217458,-0.676773,0.098067,-0.027602
0.132817,-0.210865,-0.123592,-0.164343,-0.216591,-0.677247,0.097063,-0.028165
0.134824,-0.211941,-0.124784,-0.164485,-0.215687,-0.677723,0.096188,-0.028651
0.136888,-0.213055,-0.126102,-0.164664,-0.214889,-0.678178,0.095236,-0.029133
0.138794,-0.214206,-0.127382,-0.164955,-0.214101,-0.678637,0.094249,-0.030001
0.140816,-0.215240,-0.128527,-0.165145,-0.213251,-0.679099,0.093245,-0.030340
0.142818,-0.216327,-0.129812,-0.165268,-0.212357,-0.679565,0.092235,-0.031229
0.144817,-0.217454,-0.131079,-0.165435,-0.211431,-0.680033,0.091369,-0.031595
0.146813,-0.218542,-0.132319,-0.165631,-0.210551,-0.680481,0.090412,-0.032122
0.148818,-0.219666,-0.133562,-0.165845,-0.209772,-0.680911,0.089427,-0.032623
0.150865,-0.220820,-0.134789,-0.165985,-0.208928,-0.681347,0.088570,-0.033103
0.152783,-0.221928,-0.136125,-0.166163,-0.208038,-0.681789,0.087620,-0.033936
0.154806,-0.223002,-0.137311,-0.166366,-0.207184,-0.682213,0.086630,-0.034330
0.156881,-0.224051,-0.138511,-0.166498,-0.206356,-0.682621,0.085625,-0.034855
0.158812,-0.225148,-0.139823,-0.166757,-0.205474,-0.683037,0.084613,-0.035343
0.160822,-0.226280,-0.141102,-0.167013,-0.204558,-0.683461,0.083598,-0.036141
0.162830,-0.227373,-0.142259,-0.167180,-0.203757,-0.683868,0.082744,-0.036579
0.164830,-0.228500,-0.143443,-0.167290,-0.202893,-0.684284,0.081782,-0.037076
0.166815,-0.229655,-0.144741,-0.167448,-0.201989,-0.684685,0.080794,-0.037878
0.168818,-0.230702,-0.146108,-0.167637,-0.201125,-0.685071,0.079947,-0.038021
0.170811,-0.231793,-0.147326,-0.167761,-0.200291,-0.685468,0.078992,-0.038573
0.172808,-0.232923,-0.148541,-0.167928,-0.199404,-0.685852,0.077997,-0.039637
